id,Nazwa produktu,Producent,id,actual,Jednostka ceny,Waga,Średnica,Długość,Szerokość,Wysokość,Grubość,Typ pakowania,Jednostki zakupu ,
25,VENTIROCK PLUS,ROCKWOOL,104,1,M2,,,1000,600,,80,paczka,1,pełna paleta
25,VENTIROCK PLUS,ROCKWOOL,105,1,M2,,,1000,600,,100,paczka,1,pełna paleta
25,VENTIROCK PLUS,ROCKWOOL,106,1,M2,,,1000,600,,120,paczka,1,pełna paleta
25,VENTIROCK PLUS,ROCKWOOL,107,1,M2,,,1000,600,,150,paczka,1,pełna paleta
25,VENTIROCK PLUS,ROCKWOOL,108,1,M2,,,1000,600,,160,paczka,1,pełna paleta
25,VENTIROCK PLUS,ROCKWOOL,109,1,M2,,,1000,600,,180,paczka,1,pełna paleta
25,VENTIROCK PLUS,ROCKWOOL,110,1,M2,,,1000,600,,200,paczka,1,pełna paleta
26,VENTIROCK F PLUS,ROCKWOOL,111,1,M2,,,1000,600,,50,paczka,1,pełna paleta
26,VENTIROCK F PLUS,ROCKWOOL,112,1,M2,,,1000,600,,60,paczka,1,pełna paleta
26,VENTIROCK F PLUS,ROCKWOOL,113,1,M2,,,1000,600,,80,paczka,1,pełna paleta
26,VENTIROCK F PLUS,ROCKWOOL,114,1,M2,,,1000,600,,100,paczka,1,pełna paleta
26,VENTIROCK F PLUS,ROCKWOOL,115,1,M2,,,1000,600,,120,paczka,1,pełna paleta
26,VENTIROCK F PLUS,ROCKWOOL,116,1,M2,,,1000,600,,140,paczka,1,pełna paleta
26,VENTIROCK F PLUS,ROCKWOOL,117,1,M2,,,1000,600,,150,paczka,1,pełna paleta
26,VENTIROCK F PLUS,ROCKWOOL,118,1,M2,,,1000,600,,160,paczka,1,pełna paleta
26,VENTIROCK F PLUS,ROCKWOOL,119,1,M2,,,1000,600,,180,paczka,1,pełna paleta
26,VENTIROCK F PLUS,ROCKWOOL,120,1,M2,,,1000,600,,200,paczka,1,pełna paleta
27,WENTIROCK SUPER,ROCKWOOL,121,1,M2,,,1000,600,,50,paczka,1,pełna paleta
27,WENTIROCK SUPER,ROCKWOOL,122,1,M2,,,1000,600,,60,paczka,1,pełna paleta
27,WENTIROCK SUPER,ROCKWOOL,123,1,M2,,,1000,600,,80,paczka,1,pełna paleta
27,WENTIROCK SUPER,ROCKWOOL,124,1,M2,,,1000,600,,100,paczka,1,pełna paleta
27,WENTIROCK SUPER,ROCKWOOL,125,1,M2,,,1000,600,,120,paczka,1,pełna paleta
27,WENTIROCK SUPER,ROCKWOOL,126,1,M2,,,1000,600,,150,paczka,1,pełna paleta
27,WENTIROCK SUPER,ROCKWOOL,127,1,M2,,,1000,600,,180,paczka,1,pełna paleta
27,WENTIROCK SUPER,ROCKWOOL,128,1,M2,,,1000,600,,200,paczka,1,pełna paleta
28,WENTIROCK F SUPER,ROCKWOOL,129,1,M2,,,1000,600,,50,paczka,1,pełna paleta
28,WENTIROCK F SUPER,ROCKWOOL,130,1,M2,,,1000,600,,60,paczka,1,pełna paleta
28,WENTIROCK F SUPER,ROCKWOOL,131,1,M2,,,1000,600,,80,paczka,1,pełna paleta
28,WENTIROCK F SUPER,ROCKWOOL,132,1,M2,,,1000,600,,100,paczka,1,pełna paleta
28,WENTIROCK F SUPER,ROCKWOOL,133,1,M2,,,1000,600,,120,paczka,1,pełna paleta
28,WENTIROCK F SUPER,ROCKWOOL,134,1,M2,,,1000,600,,150,paczka,1,pełna paleta
28,WENTIROCK F SUPER,ROCKWOOL,135,1,M2,,,1000,600,,160,paczka,1,pełna paleta
28,WENTIROCK F SUPER,ROCKWOOL,136,1,M2,,,1000,600,,180,paczka,1,pełna paleta
28,WENTIROCK F SUPER,ROCKWOOL,137,1,M2,,,1000,600,,200,paczka,1,pełna paleta
29,HARDROCK MAX,ROCKWOOL,138,1,M2,,,2000,1200,,50,paleta,1,pełna paleta
29,HARDROCK MAX,ROCKWOOL,139,1,M2,,,2000,1200,,80,paleta,1,pełna paleta
29,HARDROCK MAX,ROCKWOOL,140,1,M2,,,2000,1200,,100,paleta,1,pełna paleta
29,HARDROCK MAX,ROCKWOOL,141,1,M2,,,2000,1200,,120,paleta,1,pełna paleta
29,HARDROCK MAX,ROCKWOOL,142,1,M2,,,2000,1200,,130,paleta,1,pełna paleta
29,HARDROCK MAX,ROCKWOOL,143,1,M2,,,2000,1200,,150,paleta,1,pełna paleta
30,MONROCK MAX E,ROCKWOOL,144,1,M2,,,2000,1200,,50,paleta,1,pełna paleta
30,MONROCK MAX E,ROCKWOOL,145,1,M2,,,2000,1200,,80,paleta,1,pełna paleta
30,MONROCK MAX E,ROCKWOOL,146,1,M2,,,2000,1200,,100,paleta,1,pełna paleta
30,MONROCK MAX E,ROCKWOOL,147,1,M2,,,2000,1200,,150,paleta,1,pełna paleta
30,MONROCK MAX E,ROCKWOOL,148,1,M2,,,2000,1200,,160,paleta,1,pełna paleta
30,MONROCK MAX E,ROCKWOOL,149,1,M2,,,2000,1200,,200,paleta,1,pełna paleta
30,MONROCK MAX E,ROCKWOOL,150,1,M2,,,2000,1200,,240,paleta,1,pełna paleta
33,Paroizolacja ROCKFOL SK 18234 II,ROCKWOOL,172,1,M2,,,25000,1580,,,,,
36,ROOFROCK 30 E,ROCKWOOL,184,1,M2,,,2000,1200,,70,paleta,1,pełna paleta
36,ROOFROCK 30 E,ROCKWOOL,185,1,M2,,,2000,1200,,80,paleta,1,pełna paleta
36,ROOFROCK 30 E,ROCKWOOL,186,1,M2,,,2000,1200,,100,paleta,1,pełna paleta
36,ROOFROCK 30 E,ROCKWOOL,187,1,M2,,,2000,1200,,130,paleta,1,pełna paleta
36,ROOFROCK 30 E,ROCKWOOL,188,1,M2,,,2000,1200,,150,paleta,1,pełna paleta
36,ROOFROCK 30 E,ROCKWOOL,189,1,M2,,,2000,1200,,190,paleta,1,pełna paleta
36,ROOFROCK 30 E,ROCKWOOL,190,1,M2,,,2000,1200,,200,paleta,1,pełna paleta
39,Otuliny TECLIT PS,ROCKWOOL,206,1,M,,,,15,,20,paleta,1,pełna paleta
39,Otuliny TECLIT PS,ROCKWOOL,207,1,M,,,,18,,20,paleta,1,pełna paleta
39,Otuliny TECLIT PS,ROCKWOOL,208,1,M,,,,18,,25,paleta,1,pełna paleta
39,Otuliny TECLIT PS,ROCKWOOL,209,1,M,,,,22,,20,paleta,1,pełna paleta
39,Otuliny TECLIT PS,ROCKWOOL,210,1,M,,,,22,,25,paleta,1,pełna paleta
39,Otuliny TECLIT PS,ROCKWOOL,211,1,M,,,,22,,30,paleta,1,pełna paleta
